Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,MSFT,SPY,^VIX,AAPL,MSFT,SPY,^VIX,AAPL,MSFT,SPY,^VIX,AAPL,MSFT,SPY,^VIX,AAPL,MSFT,SPY,^VIX
Date,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.19260597229004,39.68174743652344,170.12498474121094,17.790000915527344,24.659508126434403,40.241840426113875,171.32579919572484,20.139999389648438,23.754469685489944,39.49505193149399,169.08980858140774,17.049999237060547,24.648443422251393,39.596886137623784,170.91172873180355,17.760000228881836,212818400,27913900,121465900,0
2015-01-05,23.511056900024414,39.31683349609375,167.05262756347656,19.920000076293945,24.042130522942855,39.6562818618999,169.24719647462058,21.290000915527344,23.32518206053304,39.24894188058228,166.74621939305322,19.190000534057617,23.962469395093265,39.35077606659908,169.08157077807908,19.190000534057617,257142000,39673900,169632600,0
2015-01-06,23.513275146484375,38.7397575378418,165.47909545898438,21.1200008392334,23.772173022582894,39.67324434518154,167.88069864803924,22.899999618530273,23.152586716885562,38.64640820965791,164.68407475623997,19.520000457763672,23.575233439406734,39.35925379903993,167.3589659169749,20.329999923706055,263188400,36447900,209151400,0
2015-01-07,23.842979431152344,39.231964111328125,167.54122924804688,19.309999465942383,23.94255500406204,39.427147625842196,167.8807701425897,20.719999313354492,23.610634176714214,38.60398293197851,166.35699350286723,19.040000915527344,23.72127445249682,39.019807695041095,166.80418415106138,20.149999618530273,160423600,29114100,125346700,0
2015-01-08,24.759082794189453,40.3861083984375,170.51426696777344,17.010000228881836,24.816616214984087,40.521888418622424,170.72959176575426,18.09000015258789,24.053197237023646,39.64780474101017,168.9325268892728,16.989999771118164,24.170477357014917,39.67326248315389,168.94908061493913,17.93000030517578,237458000,29645200,147217800,0
2015-01-09,24.785634994506836,40.04663848876953,169.1477508544922,17.549999237060547,25.060022405088077,40.581273491027616,170.9448147939559,18.420000076293945,24.387329327343235,39.80053953988844,168.53492214071656,16.440000534057617,24.93167928030907,40.403062902691445,170.9282484404957,16.440000534057617,214798000,23944200,158567300,0
2015-01-12,24.174903869628906,39.54597091674805,167.8227996826172,19.600000381469727,24.922831637875944,40.34368144092687,169.43768504089866,20.440000534057617,24.075328281845096,39.34230248645867,167.21826017883348,18.020000457763672,24.916193490455274,40.24184398853085,169.28033619992303,18.020000457763672,198603200,23651900,144396100,0
2015-01-13,24.389545440673828,39.342281341552734,167.35072326660156,20.559999465942383,24.960449733893075,40.65765030748869,170.16639741804175,21.579999923706055,24.099668425353194,39.08769432189571,166.05053592069322,17.649999618530273,24.657294735965763,39.859943449296786,169.04012523018008,18.209999084472656,268367600,35270600,214553300,0
2015-01-14,24.296600341796875,39.002838134765625,166.34042358398438,21.479999542236328,24.449282743613015,39.24045554269455,166.53918199916947,23.34000015258789,24.008935007427194,38.71430525440573,164.44398600526128,21.31999969482422,24.128426683785232,39.002838134765625,165.33836728251805,22.8700008392334,195826400,29719600,192991100,0
2015-01-15,23.637189865112305,38.59549331665039,164.816650390625,22.389999389648438,24.354138422379428,39.35925767959362,167.29278426938683,23.309999465942383,23.601785852626346,38.536089781449235,164.70071113847325,20.860000610351562,24.340862128726783,39.223477708098144,166.97809923436395,21.229999542236328,240056000,32750800,176613900,0
2015-01-16,23.45352554321289,39.24044418334961,166.9780731201172,20.950000762939453,23.805362503417978,39.27438674272779,167.1354219312357,23.43000030517578,23.27871370223808,38.33241192843473,164.42739733525644,20.950000762939453,23.68365752291758,38.451222216631066,164.60958936534854,22.799999237060547,314053200,35695300,211879600,0
2015-01-20,24.0576229095459,39.367740631103516,167.33412170410156,19.889999389648438,24.11294304990514,39.58838509752569,167.8806976441935,21.3700008392334,23.56637979303794,38.67186790577153,165.76893615669306,19.579999923706055,23.862894935009866,39.29136419845734,167.61568653272155,20.06999969482422,199599600,36161900,130991100,0
2015-01-21,24.241287231445312,38.96889114379883,168.1789093017578,18.850000381469727,24.57541967816757,39.15558983637153,168.65923269382154,21.280000686645508,23.958046682410192,38.59549699590361,166.4066877141447,18.639999389648438,24.108517538238907,38.98586404651,166.87044474470795,20.920000076293945,194303600,39081100,122942700,0
2015-01-22,24.871936798095703,39.9957275390625,170.6798858642578,16.399999618530273,24.88742637071064,40.004212371119095,170.81237883664812,19.229999542236328,24.27890479360892,39.10467125962379,167.55779037723386,16.06999969482422,24.398396505882765,39.35925830557058,168.93250763678003,17.979999542236328,215185600,35898000,174356000,0
2015-01-23,25.000272750854492,40.038177490234375,169.7440643310547,16.65999984741211,25.1706580006503,40.21638818464975,170.6798677187709,17.09000015258789,24.679414998563754,39.715698683255496,169.6115587363211,15.8100004196167,24.849801936595878,40.19093043894798,170.42313339031367,16.790000915527344,185859200,26211600,117516800,0
2015-01-26,25.026826858520508,39.893890380859375,170.14157104492188,15.520000457763672,25.30564079070656,39.99572778967614,170.2326670631215,17.43000030517578,24.960443714443343,39.24045147915981,168.81655298688875,15.520000457763672,25.168446258435488,39.88540554874962,169.52875477378714,16.959999084472656,222460000,42525500,92009700,0
2015-01-27,24.150556564331055,36.20238494873047,167.89735412597656,17.219999313354492,24.88963440186182,36.66064376463559,169.04018040750515,18.40999984741211,24.126215571319666,35.73564129723508,167.06921291271397,16.670000076293945,24.8763564222506,36.44848726511484,168.087823066826,17.600000381469727,382274800,169164000,134044600,0
2015-01-28,25.515857696533203,34.954891204833984,165.744140625,20.440000534057617,26.13765714169229,36.31269425891968,169.18092074926022,20.440000534057617,25.515857696533203,34.92943346990898,165.55367173160218,16.920000076293945,26.029228465091716,36.27026362162797,169.08154787208377,16.969999313354492,585908400,84507100,168514300,0
2015-01-29,26.310253143310547,35.650760650634766,167.2762451171875,18.760000228881836,26.3744246942054,35.744109986215605,167.53296686671393,21.559999465942383,25.571175357345947,34.615439601987724,164.5350871374661,18.65999984741211,25.739349018717416,34.73424667009068,165.94293728307736,20.459999084472656,337745600,63585300,173585400,0
