Date,SPY_return,SPY_vol_5,SPY_vol_20,SPY_vol_60
2015-03-31,-0.00877818649878548,0.010325134115787183,0.009192077578652034,0.008868707447128192
2015-04-01,-0.00354255995703308,0.007866802322936371,0.009180350800100089,0.008549807989480775
2015-04-02,0.003590898901188505,0.007878963338825408,0.009225289250974957,0.00846017565110304
2015-04-06,0.006710601300681437,0.008278642762964677,0.008797713268037544,0.00835750350138968
2015-04-07,-0.002649599550049242,0.00612767834377788,0.008772882145128051,0.00806014664369147
2015-04-08,0.0033713215782987813,0.004406545731510314,0.007908012775861482,0.007997037078331316
2015-04-09,0.004413915536168658,0.0034689522039279973,0.007904265797009969,0.007939498789982104
2015-04-10,0.005442192447293645,0.003631132547903431,0.007514933112899159,0.007951185652227535
2015-04-13,-0.004533071873197189,0.004492416286662417,0.007443096927207699,0.007931611013734631
2015-04-14,0.0019113006405699871,0.0039424526378088395,0.0068693335074676365,0.007824443436781384
2015-04-15,0.004476841203636789,0.004059362298635843,0.006876369170645903,0.007676786751210002
2015-04-16,-0.00028543978321126696,0.004003427315401674,0.006358174555953004,0.007675953592596582
2015-04-17,-0.011569952701340664,0.006288638748070252,0.006811111531360576,0.007816733814563118
2015-04-20,0.009095490407543433,0.007709338163460954,0.0068326566644059655,0.007674068034027178
2015-04-21,-0.0011920522003075619,0.007714940399778993,0.0068241460520363445,0.007638267400807249
2015-04-22,0.004902106475516369,0.007777279499291882,0.0067805590816605345,0.007656176904013385
2015-04-23,0.002512916096060648,0.007834983604880712,0.005767900248160147,0.007443352834521746
2015-04-24,0.0023178701530536766,0.0037966701760841514,0.005705514131214342,0.007226128960732048
2015-04-27,-0.004166521069540236,0.003559208808929303,0.005841342194030948,0.007175071521863727
2015-04-28,0.0031734960946808595,0.003459473763404495,0.0052763222523601275,0.0069603797102090244
2015-04-29,-0.0041225814827717195,0.0037449198325862597,0.004924322509769918,0.006831862358051669
2015-04-30,-0.0100711095321715,0.005433805848329981,0.005431101288585417,0.006735827497466243
2015-05-01,0.010782920955022682,0.008035026489650831,0.005856372860191904,0.006844994574500522
2015-05-04,0.0028432313817662856,0.007929236233005368,0.005721082977368156,0.006739072505151183
2015-05-05,-0.011517637212604225,0.00930354698492284,0.006317713983728495,0.006903411044739915
2015-05-06,-0.004125637027328017,0.009303687121475048,0.006353772613023827,0.006899296639257049
2015-05-07,0.0039819698684099075,0.008501707995787604,0.00633874742245127,0.006784675567625683
2015-05-08,0.013079807629387425,0.009233983265087519,0.006890388565085449,0.006984283592013359
2015-05-11,-0.004783831103847226,0.009450320804410281,0.006900010335829043,0.0069119581911262174
2015-05-12,-0.00299582470597049,0.0075911209881001475,0.006929209475529886,0.006904868880853135
2015-05-13,0.00019042269965986023,0.00708674641008007,0.006853127423532256,0.006902147380867796
2015-05-14,0.010373800113560734,0.008066252017256454,0.007241234147474103,0.007029243210344698
2015-05-15,0.0010831135789342243,0.005867140268205033,0.00666711838282745,0.007028944546739598
2015-05-18,0.0031021065594349843,0.004994838511598046,0.006417332644843953,0.006999027126751366
2015-05-19,-0.00032887642936892445,0.004386507770227209,0.006406346965330329,0.00699923282425999
2015-05-20,-0.0007042625660542212,0.004539443293009325,0.006340256638940499,0.006991696631402673
2015-05-21,0.0029082496765974798,0.00176866756710161,0.006347372139354984,0.006999341056175384
2015-05-22,-0.002391546756868838,0.0024014310460354245,0.006365704502955845,0.0070051905799003375
2015-05-26,-0.010809976233885908,0.005147320190043411,0.006772247833888193,0.007133780475225396
2015-05-27,0.009447434017838817,0.007421294199388582,0.007066699850987327,0.007191745537525311
2015-05-28,-0.0011287558959164497,0.007429355497084558,0.006999541668343512,0.007172205311792759
2015-05-29,-0.006232729259096645,0.007537222595889593,0.006743930111876007,0.007197744139333261
2015-06-01,0.0020347889415347443,0.007768876744284625,0.006321844378060573,0.007200869237408483
2015-06-02,-0.000992966604857826,0.005756404511299805,0.006295609173434057,0.006953239108051143
2015-06-03,0.0026457807169646464,0.0035195179452599356,0.005699051917836958,0.006942251409611309
2015-06-04,-0.008482509735761989,0.004964993425506946,0.005970722801668492,0.006690896593311248
2015-06-05,-0.0017146496712231846,0.004431270541449382,0.0059316142391657835,0.006686872291431991
2015-06-08,-0.006168424838265897,0.004405549828912814,0.005257657066381891,0.006547651582141886
2015-06-09,-0.00014422060163048713,0.004514454066298363,0.005171843068753916,0.006494845091541418
2015-06-10,0.011922085671731142,0.007919753039042339,0.005829255420251229,0.006451296165548401
2015-06-11,0.0032183792728199987,0.006770984842588675,0.005867357922425465,0.006448147208516069
2015-06-12,-0.007684247540666351,0.007895417426804576,0.005633591795710491,0.006347732296475202
2015-06-15,-0.004294562619162592,0.007552894114775417,0.005681130994140922,0.006344420897378225
2015-06-16,0.005436130351945919,0.00782227830647896,0.00578825173397801,0.0062805500540382385
2015-06-17,0.001616234667098935,0.0054641816267507574,0.0058106402187652175,0.006278779671807378
2015-06-18,0.01034560741993727,0.007259696704830847,0.006302326538068054,0.0063719290674101306
2015-06-19,-0.004448849946143248,0.006372804979005304,0.00633681544868975,0.00609129112228499
2015-06-22,0.005109593159332932,0.0054743055834951095,0.006433447153009526,0.006108265392275688
2015-06-23,0.0007080884019771195,0.005488716434602161,0.005910665835185016,0.006104316102014515
2015-06-24,-0.007289199646648093,0.007117743197976143,0.00576919269803567,0.00599571592965657
2015-06-25,-0.0030453141666207215,0.004814853987631871,0.005799916833286147,0.005894060054424191
2015-06-26,-0.00019034134314923037,0.004599468297451551,0.0056336100447598216,0.005872331379420063
2015-06-29,-0.021193517473301216,0.008941219522359564,0.007318921488500044,0.006484659517773225
2015-06-30,0.0020909416896620204,0.009225276241231827,0.007356619048336354,0.006430813602719317
2015-07-01,0.007983697592455147,0.01101562853329796,0.007591899369128167,0.006504853532113938
2015-07-02,-0.000916144426214835,0.011048306351331494,0.007374929535217382,0.006491828343651929
