Model,QLIKE,MSE,RMSE,MAE
Naive Forecast,0.44511059044943857,0.35961749793804193,0.5996811635678095,0.43633364500032695
Historical Average,0.3384618810886954,0.33860889044980824,0.5819011002307938,0.39271606120647384
